User_ID,User_Persona,Age_Group,City,Device_Type,Bank,Join_Date
U0291,Student,18-20,Bengaluru,iOS,Axis Bank,02-05-2026
U0292,Working Professional,35-44,Kolkata,Android,Kotak Mahindra Bank,11-11-2025
U0293,Family User,50-59,Chandigarh,iOS,State Bank of India,21-02-2024
U0294,Student,18-20,Hyderabad,Android,State Bank of India,20-07-2024
U0295,Budget Conscious,45-54,Delhi,Android,HDFC Bank,03-12-2023
U0296,Working Professional,25-34,Delhi,Android,State Bank of India,04-05-2026
U0297,Student,18-20,Kolkata,Android,Axis Bank,29-05-2025
U0298,Working Professional,35-44,Ahmedabad,iOS,Axis Bank,27-10-2023
U0299,High Spender,50-59,Jaipur,Android,Kotak Mahindra Bank,02-01-2024
U0300,Working Professional,22-24,Delhi,Android,State Bank of India,04-11-2023
U0301,High Spender,30-39,Ludhiana,Android,HDFC Bank,08-04-2026
U0302,Working Professional,25-34,Hyderabad,Android,Kotak Mahindra Bank,14-02-2024
U0303,Student,21-24,Gurgaon,Android,State Bank of India,31-05-2025
U0304,Family User,30-39,Jaipur,Android,HDFC Bank,12-09-2023
U0305,Working Professional,35-44,Jaipur,Android,State Bank of India,01-03-2026
U0306,Budget Conscious,45-54,Kolkata,iOS,State Bank of India,25-11-2025
U0307,Student,18-20,Chandigarh,Android,Axis Bank,03-10-2024
U0308,Student,18-20,Gurgaon,Android,State Bank of India,05-07-2026
U0309,Frequent Traveler,45-54,Ahmedabad,iOS,Kotak Mahindra Bank,21-03-2025
U0310,Student,21-24,Ludhiana,Android,State Bank of India,22-08-2025
U0311,Working Professional,22-24,Chandigarh,iOS,Axis Bank,19-04-2026
U0312,Student,18-20,Bengaluru,Android,HDFC Bank,22-07-2024
U0313,Family User,50-59,Ahmedabad,iOS,HDFC Bank,28-05-2024
U0314,Family User,50-59,Bengaluru,Android,ICICI Bank,12-08-2024
U0315,Student,18-20,Ahmedabad,Android,Axis Bank,29-08-2025
U0316,Working Professional,35-44,Noida,iOS,Kotak Mahindra Bank,19-01-2026
U0317,Working Professional,35-44,Hyderabad,Android,ICICI Bank,18-06-2026
U0318,Working Professional,25-34,Noida,Android,Kotak Mahindra Bank,15-07-2024
U0319,High Spender,40-49,Gurgaon,Android,Kotak Mahindra Bank,09-03-2026
U0320,Family User,30-39,Noida,Android,ICICI Bank,18-07-2025
U0321,Frequent Traveler,25-34,Jaipur,Android,State Bank of India,28-01-2026
U0322,Family User,30-39,Ahmedabad,iOS,HDFC Bank,23-01-2025
U0323,Working Professional,22-24,Gurgaon,Android,Kotak Mahindra Bank,28-04-2026
U0324,Student,21-24,Mumbai,iOS,ICICI Bank,21-08-2023
U0325,Frequent Traveler,35-44,Delhi,Android,Axis Bank,07-06-2025
U0326,Family User,30-39,Pune,iOS,State Bank of India,30-10-2024
U0327,Working Professional,25-34,Mumbai,iOS,State Bank of India,27-11-2024
U0328,Budget Conscious,25-34,Delhi,Android,Axis Bank,06-02-2026
U0329,Budget Conscious,25-34,Ahmedabad,Android,Kotak Mahindra Bank,20-03-2024
U0330,Student,18-20,Delhi,Android,ICICI Bank,15-04-2025
U0331,Family User,50-59,Kolkata,Android,HDFC Bank,12-09-2024
U0332,Budget Conscious,25-34,Gurgaon,Android,ICICI Bank,05-06-2024
U0333,Working Professional,35-44,Hyderabad,Android,Axis Bank,21-01-2025
U0334,Family User,30-39,Jaipur,Android,ICICI Bank,31-12-2023
U0335,Budget Conscious,35-44,Pune,Android,State Bank of India,15-04-2026
U0336,Working Professional,25-34,Bengaluru,Android,HDFC Bank,20-07-2024
U0337,Family User,40-49,Mumbai,iOS,Kotak Mahindra Bank,25-10-2023
U0338,Family User,50-59,Ludhiana,Android,Axis Bank,26-02-2026
U0339,Student,21-24,Chandigarh,Android,HDFC Bank,28-10-2023
U0340,Working Professional,22-24,Chandigarh,Android,HDFC Bank,23-02-2026
U0341,Budget Conscious,45-54,Chandigarh,Android,State Bank of India,12-07-2024
U0342,Family User,50-59,Bengaluru,iOS,Axis Bank,16-05-2026
U0343,High Spender,40-49,Jaipur,Android,ICICI Bank,15-11-2024
U0344,Student,21-24,Delhi,Android,HDFC Bank,22-12-2024
U0345,Budget Conscious,25-34,Chandigarh,iOS,Kotak Mahindra Bank,23-12-2025
U0346,Working Professional,35-44,Hyderabad,Android,ICICI Bank,01-12-2025
U0347,Working Professional,22-24,Jaipur,Android,HDFC Bank,24-04-2024
U0348,Budget Conscious,35-44,Pune,Android,Axis Bank,03-05-2025
U0349,Working Professional,22-24,Hyderabad,Android,State Bank of India,05-12-2023
U0350,High Spender,50-59,Gurgaon,Android,Axis Bank,15-08-2024
U0351,Student,18-20,Ludhiana,Android,HDFC Bank,21-11-2023
U0352,Student,21-24,Gurgaon,Android,Axis Bank,17-05-2026
U0353,Student,21-24,Chandigarh,Android,State Bank of India,14-10-2023
U0354,Family User,40-49,Gurgaon,Android,HDFC Bank,25-12-2023
U0355,Student,21-24,Chandigarh,Android,ICICI Bank,12-09-2023
U0356,High Spender,30-39,Kolkata,Android,Axis Bank,14-02-2026
U0357,Student,18-20,Noida,Android,State Bank of India,24-05-2025
U0358,Working Professional,35-44,Delhi,Android,Axis Bank,29-10-2024
U0359,High Spender,40-49,Hyderabad,Android,Kotak Mahindra Bank,13-06-2026
U0360,Student,21-24,Pune,Android,State Bank of India,16-08-2025
U0361,Working Professional,22-24,Delhi,Android,Axis Bank,06-11-2024
U0362,Family User,50-59,Mumbai,Android,State Bank of India,06-06-2024
U0363,Budget Conscious,25-34,Kolkata,Android,Axis Bank,15-01-2025
U0364,Working Professional,22-24,Mumbai,Android,Axis Bank,07-11-2025
U0365,High Spender,50-59,Chandigarh,Android,HDFC Bank,24-02-2024
